
natural spline
             x          Natural CS          N_Error(%) 
       1.010000        2.7462548941        0.0238155158
       1.020000        2.7742652538        0.0386013219
       1.030000        2.8023502019        0.0458528032
       1.040000        2.8305470325        0.0470101158
       1.050000        2.8588930399        0.0434595337
       1.060000        2.8874255182        0.0365347670
       1.070000        2.9161817615        0.0275182548
       1.080000        2.9451990642        0.0176424320
       1.090000        2.9745147202        0.0080909709
       1.100000        3.0041660239        0.0000000015
       1.110000        3.0341830419        0.0057788995
       1.120000        3.0645669311        0.0093731127
       1.130000        3.0953116206        0.0111407545
       1.140000        3.1264110400        0.0114279401
       1.150000        3.1578591184        0.0105690601
       1.160000        3.1896497852        0.0088870488
       1.170000        3.2217769697        0.0066936472
       1.180000        3.2542346013        0.0042896615
       1.190000        3.2870166091        0.0019652158
       1.200000        3.3201169227        0.0000000011
       1.210000        3.3535314766        0.0013962800
       1.220000        3.3872642269        0.0022583110
       1.230000        3.4213211349        0.0026773599
       1.240000        3.4557081622        0.0027403937
       1.250000        3.4904312700        0.0025301977
       1.260000        3.5254964199        0.0021254919
       1.270000        3.5609095732        0.0016010448
       1.280000        3.5966766913        0.0010277853
       1.290000        3.6328037356        0.0004729120
       1.300000        3.6692966676        0.0000000005
       1.310000        3.7061609873        0.0003433449
       1.320000        3.7434003492        0.0005617325
       1.330000        3.7810179469        0.0006728479
       1.340000        3.8190169735        0.0006947250
       1.350000        3.8574006224        0.0006457232
       1.360000        3.8961720869        0.0005445037
       1.370000        3.9353345602        0.0004100073
       1.380000        3.9748912358        0.0002614323
       1.390000        4.0148453069        0.0001182135
       1.400000        4.0551999668        0.0000000011
       1.410000        4.0959586164        0.0000784274
       1.420000        4.1371254870        0.0001219878
       1.430000        4.1787050175        0.0001394110
       1.440000        4.2207016466        0.0001381206
       1.450000        4.2631198134        0.0001242799
       1.460000        4.3059639565        0.0001028376
       1.470000        4.3492385149        0.0000775730
       1.480000        4.3929479274        0.0000511389
       1.490000        4.4370966329        0.0000251051
       1.500000        4.4816890703        0.0000000008
       1.510000        4.5267297155        0.0000238312
       1.520000        4.5722231934        0.0000437801
       1.530000        4.6181741659        0.0000575210
       1.540000        4.6645872949        0.0000638025
       1.550000        4.7114672423        0.0000624069
       1.560000        4.7588186702        0.0000541096
       1.570000        4.8066462403        0.0000406401
       1.580000        4.8549546148        0.0000246431
       1.590000        4.9037484555        0.0000096415
       1.600000        4.9530324244        0.0000000001
       1.610000        5.0028112760        0.0000009624
       1.620000        5.0530901352        0.0000035887
       1.630000        5.1038742197        0.0000097740
       1.640000        5.1551687469        0.0000148456
       1.650000        5.2069789345        0.0000171443
       1.660000        5.2593099999        0.0000160575
       1.670000        5.3121671608        0.0000119793
       1.680000        5.3655556347        0.0000062698
       1.690000        5.4194806392        0.0000012175
       1.700000        5.4739473917        0.0000000005
       1.710000        5.5289611985        0.0000050493
       1.720000        5.5845277197        0.0000133336
       1.730000        5.6406527041        0.0000213507
       1.740000        5.6973419006        0.0000267157
       1.750000        5.7546010579        0.0000281186
       1.760000        5.8124359248        0.0000252836
       1.770000        5.8708522501        0.0000189283
       1.780000        5.9298557826        0.0000107245
       1.790000        5.9894522711        0.0000032599
       1.800000        6.0496474644        0.0000000002
       1.810000        6.1104472128        0.0000035915
       1.820000        6.1718577728        0.0000109706
       1.830000        6.2338855025        0.0000185435
       1.840000        6.2965367601        0.0000238372
       1.850000        6.3598179036        0.0000254572
       1.860000        6.4237352910        0.0000230460
       1.870000        6.4882952805        0.0000172428
       1.880000        6.5535042302        0.0000096438
       1.890000        6.6193684981        0.0000027640
       1.900000        6.6858944423        0.0000000003
       1.910000        6.7530885322        0.0000039445
       1.920000        6.8209576819        0.0000115432
       1.930000        6.8895089171        0.0000192240
       1.940000        6.9587492633        0.0000245351
       1.950000        7.0286857459        0.0000261026
       1.960000        7.0993253905        0.0000235889
       1.970000        7.1706752226        0.0000176519
       1.980000        7.2427422677        0.0000099064
       1.990000        7.3155335513        0.0000028848
       2.000000        7.3890560989        0.0000000004
       2.010000        7.4633170593        0.0000038594
       2.020000        7.5383240739        0.0000114048
       2.030000        7.6140849076        0.0000190592
       2.040000        7.6906073250        0.0000243660
       2.050000        7.7678990908        0.0000259461
       2.060000        7.8459679699        0.0000234570
       2.070000        7.9248217269        0.0000175523
       2.080000        8.0044681265        0.0000098422
       2.090000        8.0849149335        0.0000028549
       2.100000        8.1661699126        0.0000000004
       2.110000        8.2482409646        0.0000038794
       2.120000        8.3311365348        0.0000114378
       2.130000        8.4148652043        0.0000190988
       2.140000        8.4994355544        0.0000244068
       2.150000        8.5848561665        0.0000259840
       2.160000        8.6711356217        0.0000234891
       2.170000        8.7582825013        0.0000175767
       2.180000        8.8463053866        0.0000098581
       2.190000        8.9352128589        0.0000028627
       2.200000        9.0250134994        0.0000000004
       2.210000        9.1157160398        0.0000038752
       2.220000        9.2073298135        0.0000114304
       2.230000        9.2998643042        0.0000190897
       2.240000        9.3933289957        0.0000243973
       2.250000        9.4877333719        0.0000259751
       2.260000        9.5830869165        0.0000234815
       2.270000        9.6793991133        0.0000175709
       2.280000        9.7766794461        0.0000098543
       2.290000        9.8749373987        0.0000028608
       2.300000        9.9741824548        0.0000000001
       2.310000       10.0744242645        0.0000038761
       2.320000       10.1756731428        0.0000114321
       2.330000       10.2779395708        0.0000190919
       2.340000       10.3812340298        0.0000243996
       2.350000       10.4855670009        0.0000259773
       2.360000       10.5909489653        0.0000234835
       2.370000       10.6973904043        0.0000175725
       2.380000       10.8049017991        0.0000098554
       2.390000       10.9134936308        0.0000028614
       2.400000       11.0231763806        0.0000000004
       2.410000       11.1339607135        0.0000038761
       2.420000       11.2458580293        0.0000114318
       2.430000       11.3588799114        0.0000190914
       2.440000       11.4730379435        0.0000243991
       2.450000       11.5883437089        0.0000259767
       2.460000       11.7048087914        0.0000234829
       2.470000       11.8224447742        0.0000175719
       2.480000       11.9412632410        0.0000098549
       2.490000       12.0612757754        0.0000028610
       2.500000       12.1824939607        0.0000000000
       2.510000       12.3049295836        0.0000038758
       2.520000       12.4285952428        0.0000114316
       2.530000       12.5535037400        0.0000190913
       2.540000       12.6796678771        0.0000243989
       2.550000       12.8071004558        0.0000259766
       2.560000       12.9358142778        0.0000234828
       2.570000       13.0658221450        0.0000175719
       2.580000       13.1971368591        0.0000098549
       2.590000       13.3297712218        0.0000028610
       2.600000       13.4637380350        0.0000000000
       2.610000       13.5990503248        0.0000038757
       2.620000       13.7357220149        0.0000114315
       2.630000       13.8737672535        0.0000190912
       2.640000       14.0132001887        0.0000243988
       2.650000       14.1540349686        0.0000259765
       2.660000       14.2962857415        0.0000234827
       2.670000       14.4399666555        0.0000175717
       2.680000       14.5850918586        0.0000098547
       2.690000       14.7316754990        0.0000028608
       2.700000       14.8797317249        0.0000000002
       2.710000       15.0292749324        0.0000038756
       2.720000       15.1803205096        0.0000114314
       2.730000       15.3328840927        0.0000190911
       2.740000       15.4869813177        0.0000243987
       2.750000       15.6426278208        0.0000259765
       2.760000       15.7998392380        0.0000234826
       2.770000       15.9586312056        0.0000175717
       2.780000       16.1190193595        0.0000098548
       2.790000       16.2810193360        0.0000028609
       2.800000       16.4446467711        0.0000000000
       2.810000       16.6099175750        0.0000038758
       2.820000       16.7768487543        0.0000114316
       2.830000       16.9454575894        0.0000190913
       2.840000       17.1157613611        0.0000243991
       2.850000       17.2877773498        0.0000259768
       2.860000       17.4615228361        0.0000234830
       2.870000       17.6370151006        0.0000175721
       2.880000       17.8142714240        0.0000098551
       2.890000       17.9933090867        0.0000028612
       2.900000       18.1741453694        0.0000000002
       2.910000       18.3567978555        0.0000038760
       2.920000       18.5412853402        0.0000114318
       2.930000       18.7276269213        0.0000190914
       2.940000       18.9158416970        0.0000243990
       2.950000       19.1059487651        0.0000259767
       2.960000       19.2979672238        0.0000234828
       2.970000       19.4919161709        0.0000175719
       2.980000       19.6878147046        0.0000098548
       2.990000       19.8856819226        0.0000028609
       3.000000       20.0855369232        0.0000000001
       3.010000       20.2873991390        0.0000038757
       3.020000       20.4912893417        0.0000114315
       3.030000       20.6972286380        0.0000190912
       3.040000       20.9052381344        0.0000243989
       3.050000       21.1153389375        0.0000259767
       3.060000       21.3275521537        0.0000234829
       3.070000       21.5418988897        0.0000175720
       3.080000       21.7584002519        0.0000098550
       3.090000       21.9770773470        0.0000028612
       3.100000       22.1979512814        0.0000000002
       3.110000       22.4210435317        0.0000038759
       3.120000       22.6463770543        0.0000114318
       3.130000       22.8739751755        0.0000190914
       3.140000       23.1038612216        0.0000243991
       3.150000       23.3360585190        0.0000259768
       3.160000       23.5705903940        0.0000234829
       3.170000       23.8074801730        0.0000175720
       3.180000       24.0467511823        0.0000098550
       3.190000       24.2884267482        0.0000028611
       3.200000       24.5325301971        0.0000000000
       3.210000       24.7790852642        0.0000038758
       3.220000       25.0281173202        0.0000114315
       3.230000       25.2796521448        0.0000190912
       3.240000       25.5337155174        0.0000243988
       3.250000       25.7903332178        0.0000259765
       3.260000       26.0495310254        0.0000234827
       3.270000       26.3113347199        0.0000175717
       3.280000       26.5757700809        0.0000098547
       3.290000       26.8428628880        0.0000028608
       3.300000       27.1126389207        0.0000000002
       3.310000       27.3851244106        0.0000038756
       3.320000       27.6603473965        0.0000114314
       3.330000       27.9383363695        0.0000190911
       3.340000       28.2191198203        0.0000243988
       3.350000       28.5027262397        0.0000259765
       3.360000       28.7891841188        0.0000234827
       3.370000       29.0785219482        0.0000175718
       3.380000       29.3707682188        0.0000098548
       3.390000       29.6659514216        0.0000028610
       3.400000       29.9641000474        0.0000000000
       3.410000       30.2652430864        0.0000038757
       3.420000       30.5694115265        0.0000114316
       3.430000       30.8766368549        0.0000190912
       3.440000       31.1869505590        0.0000243989
       3.450000       31.5003841260        0.0000259766
       3.460000       31.8169690432        0.0000234828
       3.470000       32.1367367977        0.0000175719
       3.480000       32.4597188770        0.0000098549
       3.490000       32.7859467682        0.0000028610
       3.500000       33.1154519587        0.0000000000
       3.510000       33.4482664876        0.0000038757
       3.520000       33.7844246018        0.0000114315
       3.530000       34.1239611001        0.0000190912
       3.540000       34.4669107813        0.0000243989
       3.550000       34.8133084443        0.0000259766
       3.560000       35.1631888878        0.0000234827
       3.570000       35.5165869107        0.0000175718
       3.580000       35.8735373118        0.0000098548
       3.590000       36.2340748898        0.0000028609
       3.600000       36.5982344437        0.0000000001
       3.610000       36.9660513821        0.0000038757
       3.620000       37.3375635538        0.0000114315
       3.630000       37.7128094174        0.0000190912
       3.640000       38.0918274314        0.0000243988
