
natural spline
             x          Natural CS          N_Error(%) 
       1.410000        4.0979751448        0.0493106134
       1.420000        4.1407821490        0.0885086342
       1.430000        4.1836528058        0.1185443991
       1.440000        4.2266189412        0.1403352543
       1.450000        4.2697123816        0.1547663429
       1.460000        4.3129649532        0.1626913768
       1.470000        4.3564084822        0.1649333942
       1.480000        4.4000747949        0.1622855025
       1.490000        4.4439957175        0.1555116057
       1.500000        4.4882030762        0.1453471180
       1.510000        4.5327286974        0.1324996632
       1.520000        4.5776044071        0.1176497605
       1.530000        4.6228620318        0.1014514957
       1.540000        4.6685333975        0.0845331802
       1.550000        4.7146503306        0.0674979963
       1.560000        4.7612446572        0.0509246292
       1.570000        4.8083482037        0.0353678871
       1.580000        4.8559927962        0.0213593082
       1.590000        4.9042102610        0.0094077555
       1.600000        4.9530324244        0.0000000001
       1.610000        5.0024835457        0.0065499604
       1.620000        5.0525576168        0.0105420586
       1.630000        5.1032410629        0.0124151876
       1.640000        5.1545203091        0.0125932461
       1.650000        5.2063817803        0.0114854846
       1.660000        5.2588119018        0.0094868446
       1.670000        5.3117970986        0.0069782922
       1.680000        5.3653237958        0.0043271442
       1.690000        5.4193784185        0.0018873889
       1.700000        5.4739473917        0.0000000005
       1.710000        5.5290218481        0.0010918963
       1.720000        5.5846117506        0.0014913759
       1.730000        5.6407317693        0.0013803524
       1.740000        5.6973965747        0.0009329267
       1.750000        5.7546208370        0.0003155916
       1.760000        5.8124192267        0.0003125666
       1.770000        5.8708064139        0.0007996708
       1.780000        5.9297970690        0.0010008600
       1.790000        5.9894058624        0.0007781004
       1.800000        6.0496474644        0.0000000002
       1.810000        6.1105323443        0.0013896209
       1.820000        6.1720541675        0.0031711291
       1.830000        6.2342023984        0.0050648961
       1.840000        6.2969665015        0.0068012047
       1.850000        6.3603359411        0.0081200184
       1.860000        6.4243001817        0.0087707564
       1.870000        6.4888486877        0.0085120719
       1.880000        6.5539709236        0.0071116354
       1.890000        6.6196563536        0.0043459215
       1.900000        6.6858944423        0.0000000003
       1.910000        6.7526785365        0.0060751756
       1.920000        6.8200175131        0.0137950731
       1.930000        6.8879241312        0.0230221058
       1.940000        6.9564111503        0.0336241428
       1.950000        7.0254913294        0.0454743665
       1.960000        7.0951774280        0.0584511335
       1.970000        7.1654822053        0.0724378387
       1.980000        7.2364184205        0.0873227821
       1.990000        7.3079988329        0.1029990379
       2.000000        7.3802362018        0.1193643271
       2.010000        7.4531432865        0.1363208922
       2.020000        7.5267328462        0.1537753749
       2.030000        7.6010176403        0.1716386959
       2.040000        7.6760104278        0.1898259379
       2.050000        7.7517239683        0.2082562306
       2.060000        7.8281710208        0.2268526383
       2.070000        7.9053643447        0.2455420498
       2.080000        7.9833166993        0.2642550709
       2.090000        8.0620408438        0.2829259189
       2.100000        8.1415495375        0.3014923198
       2.110000        8.2218555396        0.3198954069
       2.120000        8.3029716095        0.3380796229
       2.130000        8.3849105064        0.3559926229
       2.140000        8.4676849895        0.3735851801
       2.150000        8.5513078182        0.3908110935
       2.160000        8.6357917517        0.4076270975
       2.170000        8.7211495493        0.4239927739
       2.180000        8.8073939702        0.4398704652
       2.190000        8.8945377738        0.4552251904
       2.200000        8.9825937192        0.4700245623
       2.210000        9.0715745658        0.4842387070
       2.220000        9.1614930729        0.4978401847
       2.230000        9.2523619996        0.5108039131
       2.240000        9.3441941054        0.5231070914
       2.250000        9.4370021493        0.5347291273
       2.260000        9.5307988908        0.5456515646
       2.270000        9.6255970890        0.5558580129
       2.280000        9.7214095034        0.5653340792
       2.290000        9.8182488930        0.5740673006
       2.300000        9.9161280172        0.5820470787
       2.310000       10.0150596353        0.5892646155
       2.320000       10.1150565065        0.5957128513
       2.330000       10.2161313901        0.6013864031
       2.340000       10.3182970454        0.6062815052
       2.350000       10.4215662317        0.6103959510
       2.360000       10.5259517081        0.6137290364
       2.370000       10.6314662341        0.6162815038
       2.380000       10.7381225688        0.6180554884
       2.390000       10.8459334715        0.6190544652
       2.400000       10.9549117015        0.6192831975
       2.410000       11.0650700181        0.6187476866
       2.420000       11.1764211805        0.6174551227
       2.430000       11.2889779480        0.6154138369
       2.440000       11.4027530798        0.6126332550
       2.450000       11.5177593354        0.6091238515
       2.460000       11.6340094738        0.6048971052
       2.470000       11.7515162544        0.5999654565
       2.480000       11.8702924365        0.5943422645
       2.490000       11.9903507793        0.5880417663
       2.500000       12.1117040421        0.5810790371
       2.510000       12.2343649842        0.5734699507
       2.520000       12.3583463647        0.5652311418
       2.530000       12.4836609431        0.5563799688
       2.540000       12.6103214786        0.5469344779
       2.550000       12.7383407304        0.5369133678
       2.560000       12.8677314579        0.5263359556
       2.570000       12.9985064202        0.5152221436
       2.580000       13.1306783766        0.5035923865
       2.590000       13.2642600865        0.4914676606
       2.600000       13.3992643091        0.4788694321
       2.610000       13.5357038037        0.4658196284
       2.620000       13.6735913295        0.4523406082
       2.630000       13.8129396458        0.4384551336
       2.640000       13.9537615118        0.4241863429
       2.650000       14.0960696869        0.4095577233
       2.660000       14.2398769304        0.3945930857
       2.670000       14.3851960014        0.3793165393
       2.680000       14.5320396593        0.3637524666
       2.690000       14.6804206633        0.3479255006
       2.700000       14.8303517726        0.3318605009
       2.710000       14.9818457467        0.3155825318
       2.720000       15.1349153447        0.2991168404
       2.730000       15.2895733259        0.2824888357
       2.740000       15.4458324496        0.2657240678
       2.750000       15.6037054750        0.2488482085
       2.760000       15.7632051614        0.2318870318
       2.770000       15.9243442681        0.2148663954
       2.780000       16.0871355544        0.1978122227
       2.790000       16.2515917795        0.1807504851
       2.800000       16.4177257027        0.1637071854
       2.810000       16.5855500833        0.1467083413
       2.820000       16.7550776805        0.1297799694
       2.830000       16.9263212536        0.1129480700
       2.840000       17.0992935619        0.0962386125
       2.850000       17.2740073646        0.0796775208
       2.860000       17.4504754210        0.0632906594
       2.870000       17.6287104905        0.0471038203
       2.880000       17.8087253322        0.0311427100
       2.890000       17.9905327054        0.0154329372
       2.900000       18.1741453694        0.0000000002
       2.910000       18.3595741301        0.0151200825
       2.920000       18.5468219798        0.0298497076
       2.930000       18.7358899576        0.0441030752
       2.940000       18.9267791024        0.0577969920
       2.950000       19.1194904532        0.0708508205
       2.960000       19.3140250490        0.0831864286
       2.970000       19.5103839287        0.0947281391
