
natural spline
             x          Natural CS          N_Error(%) 
       1.010000        6.0100000000       64.9568812207
       1.020000        6.0200000000       65.2047256838
       1.030000        6.0300000000       65.4494720015
       1.040000        6.0400000000       65.6911751341
       1.050000        6.0500000000       65.9298887794
       1.060000        6.0600000000       66.1656654086
       1.070000        6.0700000000       66.3985563004
       1.080000        6.0800000000       66.6286115746
       1.090000        6.0900000000       66.8558802240
       1.100000        6.1000000000       67.0804101457
       1.110000        6.1100000000       67.3022481711
       1.120000        6.1200000000       67.5214400951
       1.130000        6.1300000000       67.7380307041
       1.140000        6.1400000000       67.9520638036
       1.150000        6.1500000000       68.1635822441
       1.160000        6.1600000000       68.3726279471
       1.170000        6.1700000000       68.5792419297
       1.180000        6.1800000000       68.7834643283
       1.190000        6.1900000000       68.9853344223
       1.200000        6.2000000000       69.1848906561
       1.210000        6.2100000000       69.3821706611
       1.220000        6.2200000000       69.5772112770
       1.230000        6.2300000000       69.7700485717
       1.240000        6.2400000000       69.9607178618
       1.250000        6.2500000000       70.1492537313
       1.260000        6.2600000000       70.3356900506
       1.270000        6.2700000000       70.5200599943
       1.280000        6.2800000000       70.7023960588
       1.290000        6.2900000000       70.8827300797
       1.300000        6.3000000000       71.0610932476
       1.310000        6.3100000000       71.2375161248
       1.320000        6.3200000000       71.4120286603
       1.330000        6.3300000000       71.5846602055
       1.340000        6.3400000000       71.7554395281
       1.350000        6.3500000000       71.9243948270
       1.360000        6.3600000000       72.0915537457
       1.370000        6.3700000000       72.2569433859
       1.380000        6.3800000000       72.4205903204
       1.390000        6.3900000000       72.5825206060
       1.400000        6.4000000000       72.7427597956
       1.410000        6.4100000000       72.9013329500
       1.420000        6.4200000000       73.0582646501
       1.430000        6.4300000000       73.2135790074
       1.440000        6.4400000000       73.3672996758
       1.450000        6.4500000000       73.5194498614
       1.460000        6.4600000000       73.6700523338
       1.470000        6.4700000000       73.8191294355
       1.480000        6.4800000000       73.9667030919
       1.490000        6.4900000000       74.1127948210
       1.500000        6.5000000000       74.2574257426
       1.510000        6.5100000000       74.4006165873
       1.520000        6.5200000000       74.5423877054
       1.530000        6.5300000000       74.6827590752
       1.540000        6.5400000000       74.8217503118
       1.550000        6.5500000000       74.9593806748
       1.560000        6.5600000000       75.0956690761
       1.570000        6.5700000000       75.2306340882
       1.580000        6.5800000000       75.3642939511
       1.590000        6.5900000000       75.4966665799
       1.600000        6.6000000000       75.6277695716
       1.610000        6.6100000000       75.7576202125
       1.620000        6.6200000000       75.8862354844
       1.630000        6.6300000000       76.0136320715
       1.640000        6.6400000000       76.1398263669
       1.650000        6.6500000000       76.2648344785
       1.660000        6.6600000000       76.3886722351
       1.670000        6.6700000000       76.5113551927
       1.680000        6.6800000000       76.6328986400
       1.690000        6.6900000000       76.7533176039
       1.700000        6.7000000000       76.8726268554
       1.710000        6.7100000000       76.9908409145
       1.720000        6.7200000000       77.1079740557
       1.730000        6.7300000000       77.2240403131
       1.740000        6.7400000000       77.3390534852
       1.750000        6.7500000000       77.4530271399
       1.760000        6.7600000000       77.5659746190
       1.770000        6.7700000000       77.6779090432
       1.780000        6.7800000000       77.7888433163
       1.790000        6.7900000000       77.8987901296
       1.800000        6.8000000000       78.0077619664
       1.810000        6.8100000000       78.1157711057
       1.820000        6.8200000000       78.2228296272
       1.830000        6.8300000000       78.3289494141
       1.840000        6.8400000000       78.4341421581
       1.850000        6.8500000000       78.5384193624
       1.860000        6.8600000000       78.6417923459
       1.870000        6.8700000000       78.7442722466
       1.880000        6.8800000000       78.8458700251
