
natural spline
             x          Natural CS          N_Error(%) 
       1.010000        0.0079143115       20.4618259584
       1.020000        0.0158280432       20.0709939588
       1.030000        0.0237406153       19.6834326407
       1.040000        0.0316514481       19.2991519362
       1.050000        0.0395599618       18.9181620496
       1.060000        0.0474655767       18.5404734458
       1.070000        0.0553677129       18.1660968402
       1.080000        0.0632657906       17.7950431885
       1.090000        0.0711592302       17.4273236771
       1.100000        0.0790474518       17.0629497143
       1.110000        0.0869298756       16.7019329212
       1.120000        0.0948059219       16.3442851234
       1.130000        0.1026750108       15.9900183434
       1.140000        0.1105365627       15.6391447925
       1.150000        0.1183899978       15.2916768637
       1.160000        0.1262347362       14.9476271247
       1.170000        0.1340701982       14.6070083113
       1.180000        0.1418958040       14.2698333209
       1.190000        0.1497109738       13.9361152062
       1.200000        0.1575151280       13.6058671694
       1.210000        0.1653076866       13.2791025569
       1.220000        0.1730880699       12.9558348531
       1.230000        0.1808556981       12.6360776762
       1.240000        0.1886099916       12.3198447723
       1.250000        0.1963503704       12.0071500111
       1.260000        0.2040762548       11.6980073811
       1.270000        0.2117870650       11.3924309854
       1.280000        0.2194822214       11.0904350373
       1.290000        0.2271611440       10.7920338562
       1.300000        0.2348232531       10.4972418635
       1.310000        0.2424679689       10.2060735794
       1.320000        0.2500947117        9.9185436186
       1.330000        0.2577029017        9.6346666873
       1.340000        0.2652919591        9.3544575796
       1.350000        0.2728613041        9.0779311743
       1.360000        0.2804103570        8.8051024317
       1.370000        0.2879385379        8.5359863909
       1.380000        0.2954452672        8.2705981667
       1.390000        0.3029299650        8.0089529467
       1.400000        0.3103920515        7.7510659889
       1.410000        0.3178309470        7.4969526189
       1.420000        0.3252460718        7.2466282274
       1.430000        0.3326368459        7.0001082681
       1.440000        0.3400026897        6.7574082551
       1.450000        0.3473430234        6.5185437607
       1.460000        0.3546572672        6.2835304132
       1.470000        0.3619448413        6.0523838950
       1.480000        0.3692051659        5.8251199407
       1.490000        0.3764376614        5.6017543346
       1.500000        0.3836417478        5.3823029095
       1.510000        0.3908168454        5.1667815443
       1.520000        0.3979623745        4.9552061629
       1.530000        0.4050777553        4.7475927319
       1.540000        0.4121624080        4.5439572594
       1.550000        0.4192157528        4.3443157932
       1.560000        0.4262372099        4.1486844193
       1.570000        0.4332261996        3.9570792605
       1.580000        0.4401821421        3.7695164752
       1.590000        0.4471044576        3.5860122555
       1.600000        0.4539925663        3.4065828263
       1.610000        0.4608458885        3.2312444439
       1.620000        0.4676638445        3.0600133947
       1.630000        0.4744458543        2.8929059941
       1.640000        0.4811913383        2.7299385851
       1.650000        0.4878997166        2.5711275377
       1.660000        0.4945704095        2.4164892473
       1.670000        0.5012028372        2.2660401336
       1.680000        0.5077964200        2.1197966403
       1.690000        0.5143505780        1.9777752332
       1.700000        0.5208647316        1.8399923998
       1.710000        0.5273383008        1.7064646483
       1.720000        0.5337707060        1.5772085066
       1.730000        0.5401613673        1.4522405214
       1.740000        0.5465097050        1.3315772577
       1.750000        0.5528151394        1.2152352973
       1.760000        0.5590770905        1.1032312389
       1.770000        0.5652949787        0.9955816966
       1.780000        0.5714682242        0.8923032994
       1.790000        0.5775962472        0.7934126906
       1.800000        0.5836784680        0.6989265272
       1.810000        0.5897143067        0.6088614787
       1.820000        0.5957031836        0.5232342271
       1.830000        0.6016445188        0.4420614658
       1.840000        0.6075377327        0.3653598991
       1.850000        0.6133822455        0.2931462419
       1.860000        0.6191774774        0.2254372185
       1.870000        0.6249228485        0.1622495628
       1.880000        0.6306177792        0.1036000172
       1.890000        0.6362616896        0.0495053321
       1.900000        0.6418540000        0.0000177342
       1.910000        0.6473943858        0.0449918480
       1.920000        0.6528835429        0.0855948698
       1.930000        0.6583224227        0.1220373199
       1.940000        0.6637119763        0.1545226791
       1.950000        0.6690531549        0.1832477497
       1.960000        0.6743469097        0.2084029938
       1.970000        0.6795941919        0.2301728503
       1.980000        0.6847959527        0.2487360340
       1.990000        0.6899531433        0.2642658150
       2.000000        0.6950667150        0.2769302828
       2.010000        0.7001376189        0.2868925943
       2.020000        0.7051668062        0.2943112075
       2.030000        0.7101552281        0.2993401015
       2.040000        0.7151038359        0.3021289840
       2.050000        0.7200135806        0.3028234876
       2.060000        0.7248854137        0.3015653541
       2.070000        0.7297202861        0.2984926094
       2.080000        0.7345191492        0.2937397286
       2.090000        0.7392829541        0.2874377916
       2.100000        0.7440126520        0.2797146314
       2.110000        0.7487091942        0.2706949733
       2.120000        0.7533735319        0.2605005676
       2.130000        0.7580066161        0.2492503147
       2.140000        0.7626093983        0.2370603843
       2.150000        0.7671828294        0.2240443283
       2.160000        0.7717278608        0.2103131873
       2.170000        0.7762454437        0.1959755929
       2.180000        0.7807365292        0.1811378639
       2.190000        0.7852020686        0.1659040981
       2.200000        0.7896430131        0.1503762595
       2.210000        0.7940603137        0.1346542616
       2.220000        0.7984549219        0.1188360461
       2.230000        0.8028277887        0.1030176581
       2.240000        0.8071798654        0.0872933179
       2.250000        0.8115121032        0.0717554893
       2.260000        0.8158254532        0.0564949445
       2.270000        0.8201208667        0.0416008261
       2.280000        0.8243992948        0.0271607067
       2.290000        0.8286616889        0.0132606451
       2.300000        0.8329090000        0.0000147597
       2.310000        0.8371420284        0.0126003507
       2.320000        0.8413609704        0.0245037247
       2.330000        0.8455658712        0.0357498235
       2.340000        0.8497567761        0.0463627451
       2.350000        0.8539337303        0.0563657746
       2.360000        0.8580967793        0.0657814156
       2.370000        0.8622459681        0.0746314188
       2.380000        0.8663813422        0.0829368102
       2.390000        0.8705029467        0.0907179177
       2.400000        0.8746108270        0.0979943966
       2.410000        0.8787050284        0.1047852541
       2.420000        0.8827855960        0.1111088725
       2.430000        0.8868525752        0.1169830319
       2.440000        0.8909060113        0.1224249316
       2.450000        0.8949459495        0.1274512103
       2.460000        0.8989724351        0.1320779665
       2.470000        0.9029855134        0.1363207766
       2.480000        0.9069852297        0.1401947138
       2.490000        0.9109716292        0.1437143649
       2.500000        0.9149447572        0.1468938473
       2.510000        0.9189046589        0.1497468249
       2.520000        0.9228513798        0.1522865235
       2.530000        0.9267849649        0.1545257457
       2.540000        0.9307054597        0.1564768850
       2.550000        0.9346129094        0.1581519392
       2.560000        0.9385073592        0.1595625238
       2.570000        0.9423888544        0.1607198847
       2.580000        0.9462574404        0.1616349099
       2.590000        0.9501131623        0.1623181415
       2.600000        0.9539560655        0.1627797867
       2.610000        0.9577861953        0.1630297289
       2.620000        0.9616035968        0.1630775374
       2.630000        0.9654083154        0.1629324784
       2.640000        0.9692003964        0.1626035236
       2.650000        0.9729798851        0.1620993603
       2.660000        0.9767468266        0.1614283996
       2.670000        0.9805012663        0.1605987858
       2.680000        0.9842432495        0.1596184039
       2.690000        0.9879728214        0.1584948882
       2.700000        0.9916900273        0.1572356295
       2.710000        0.9953949125        0.1558477832
       2.720000        0.9990875223        0.1543382756
       2.730000        1.0027679019        0.1527138116
       2.740000        1.0064360967        0.1509808811
       2.750000        1.0100921518        0.1491457650
       2.760000        1.0137361125        0.1472145423
       2.770000        1.0173680242        0.1451930954
       2.780000        1.0209879322        0.1430871160
       2.790000        1.0245958816        0.1409021109
       2.800000        1.0281919177        0.1386434076
       2.810000        1.0317760859        0.1363161589
       2.820000        1.0353484315        0.1339253484
       2.830000        1.0389089996        0.1314757954
       2.840000        1.0424578355        0.1289721594
       2.850000        1.0459949847        0.1264189449
       2.860000        1.0495204922        0.1238205056
       2.870000        1.0530344034        0.1211810487
       2.880000        1.0565367636        0.1185046393
       2.890000        1.0600276180        0.1157952040
       2.900000        1.0635070119        0.1130565351
       2.910000        1.0669749906        0.1102922941
       2.920000        1.0704315994        0.1075060155
       2.930000        1.0738768836        0.1047011102
       2.940000        1.0773108883        0.1018808689
       2.950000        1.0807336589        0.0990484655
       2.960000        1.0841452407        0.0962069603
       2.970000        1.0875456790        0.0933593028
       2.980000        1.0909350189        0.0905083350
       2.990000        1.0943133059        0.0876567942
       3.000000        1.0976805851        0.0848073158
       3.010000        1.1010369018        0.0819624362
       3.020000        1.1043823014        0.0791245949
       3.030000        1.1077168291        0.0762961379
       3.040000        1.1110405301        0.0734793193
       3.050000        1.1143534498        0.0706763044
       3.060000        1.1176556333        0.0678891717
       3.070000        1.1209471261        0.0651199153
       3.080000        1.1242279734        0.0623704469
       3.090000        1.1274982204        0.0596425983
       3.100000        1.1307579124        0.0569381229
       3.110000        1.1340070947        0.0542586985
       3.120000        1.1372458125        0.0516059284
       3.130000        1.1404741113        0.0489813441
       3.140000        1.1436920361        0.0463864064
       3.150000        1.1468996323        0.0438225078
       3.160000        1.1500969452        0.0412909740
       3.170000        1.1532840200        0.0387930652
       3.180000        1.1564609021        0.0363299787
       3.190000        1.1596276367        0.0339028493
       3.200000        1.1627842690        0.0315127519
       3.210000        1.1659308443        0.0291607024
       3.220000        1.1690674080        0.0268476594
       3.230000        1.1721940053        0.0245745253
       3.240000        1.1753106815        0.0223421481
       3.250000        1.1784174818        0.0201513228
       3.260000        1.1815144515        0.0180027920
       3.270000        1.1846016359        0.0158972481
       3.280000        1.1876790803        0.0138353338
       3.290000        1.1907468299        0.0118176437
       3.300000        1.1938049301        0.0098447254
       3.310000        1.1968534260        0.0079170806
       3.320000        1.1998923631        0.0060351661
       3.330000        1.2029217864        0.0041993952
       3.340000        1.2059417414        0.0024101382
       3.350000        1.2089522733        0.0006677242
       3.360000        1.2119534274        0.0010275587
       3.370000        1.2149452489        0.0026754619
       3.380000        1.2179277831        0.0042757755
       3.390000        1.2209010754        0.0058283276
       3.400000        1.2238651709        0.0073329829
       3.410000        1.2268201149        0.0087896425
       3.420000        1.2297659528        0.0101982424
       3.430000        1.2327027298        0.0115587532
       3.440000        1.2356304911        0.0128711788
       3.450000        1.2385492821        0.0141355562
       3.460000        1.2414591481        0.0153519541
       3.470000        1.2443601342        0.0165204726
       3.480000        1.2472522858        0.0176412425
       3.490000        1.2501356481        0.0187144241
       3.500000        1.2530102665        0.0197402072
       3.510000        1.2558761862        0.0207188098
       3.520000        1.2587334524        0.0216504777
       3.530000        1.2615821105        0.0225354842
       3.540000        1.2644222058        0.0233741287
       3.550000        1.2672537834        0.0241667369
       3.560000        1.2700768887        0.0249136598
       3.570000        1.2728915669        0.0256152729
       3.580000        1.2756978634        0.0262719761
       3.590000        1.2784958234        0.0268841931
       3.600000        1.2812854922        0.0274523705
       3.610000        1.2840669150        0.0279769776
       3.620000        1.2868401371        0.0284585056
       3.630000        1.2896052039        0.0288974675
       3.640000        1.2923621605        0.0292943974
       3.650000        1.2951110523        0.0296498499
       3.660000        1.2978519245        0.0299643997
       3.670000        1.3005848224        0.0302386414
       3.680000        1.3033097912        0.0304731888
       3.690000        1.3060268764        0.0306686743
       3.700000        1.3087361230        0.0308257492
       3.710000        1.3114375765        0.0309450823
       3.720000        1.3141312821        0.0310273602
       3.730000        1.3168172850        0.0310732868
       3.740000        1.3194956305        0.0310835826
       3.750000        1.3221663639        0.0310589848
       3.760000        1.3248295305        0.0310002465
       3.770000        1.3274851756        0.0309081366
       3.780000        1.3301333444        0.0307834393
       3.790000        1.3327740822        0.0306269539
       3.800000        1.3354074343        0.0304394944
       3.810000        1.3380334459        0.0302218891
       3.820000        1.3406521624        0.0299749806
       3.830000        1.3432636290        0.0296996248
       3.840000        1.3458678910        0.0293966915
       3.850000        1.3484649936        0.0290670635
       3.860000        1.3510549821        0.0287116362
       3.870000        1.3536379019        0.0283313180
       3.880000        1.3562137981        0.0279270294
       3.890000        1.3587827161        0.0274997027
       3.900000        1.3613447011        0.0270502824
       3.910000        1.3638997985        0.0265797241
       3.920000        1.3664480534        0.0260889950
       3.930000        1.3689895112        0.0255790730
       3.940000        1.3715242171        0.0250509470
       3.950000        1.3740522164        0.0245056162
       3.960000        1.3765735544        0.0239440904
       3.970000        1.3790882763        0.0233673890
       3.980000        1.3815964275        0.0227765417
       3.990000        1.3840980532        0.0221725877
       4.000000        1.3865931987        0.0215565754
       4.010000        1.3890819093        0.0209295627
       4.020000        1.3915642301        0.0202926163
       4.030000        1.3940402066        0.0196468118
       4.040000        1.3965098840        0.0189932334
       4.050000        1.3989733075        0.0183329738
       4.060000        1.4014305225        0.0176671338
       4.070000        1.4038815742        0.0169968223
       4.080000        1.4063265078        0.0163231561
       4.090000        1.4087653687        0.0156472598
       4.100000        1.4111982022        0.0149702653
       4.110000        1.4136250535        0.0142933121
       4.120000        1.4160459678        0.0136175468
       4.130000        1.4184609905        0.0129441231
