
natural spline
             x          Natural CS          N_Error(%) 
       1.010000       17.1517447303        0.0084239360
       1.020000       17.3035655376        0.0136726791
       1.030000       17.4555384987        0.0162639517
       1.040000       17.6077396907        0.0166982341
       1.050000       17.7602451905        0.0154593300
       1.060000       17.9131310751        0.0130149134
       1.070000       18.0664734214        0.0098170542
       1.080000       18.2203483063        0.0063027264
       1.090000       18.3748318069        0.0028942974
       1.100000       18.5300000000        0.0000000000
       1.110000       18.6859128857        0.0020716478
       1.120000       18.8425661561        0.0033637804
       1.130000       18.9999394266        0.0040028706
       1.140000       19.1580123122        0.0041113627
       1.150000       19.3167644284        0.0038077991
       1.160000       19.4761753903        0.0032069421
       1.170000       19.6362248132        0.0024198915
       1.180000       19.7968923122        0.0015541983
       1.190000       19.9581575028        0.0007139748
       1.200000       20.1200000000        0.0000000000
       1.210000       20.2824037270        0.0005114162
       1.220000       20.4453698380        0.0008306984
       1.230000       20.6089037950        0.0009888787
       1.240000       20.7730110603        0.0010160416
       1.250000       20.9376970958        0.0009413531
       1.260000       21.1029673637        0.0007930875
       1.270000       21.2688273259        0.0005986540
       1.280000       21.4352824447        0.0003846229
       1.290000       21.6023381820        0.0001767498
       1.300000       21.7700000000        0.0000000000
       1.310000       21.9382722064        0.0001266897
       1.320000       22.1071544921        0.0002058512
       1.330000       22.2766453933        0.0002451293
       1.340000       22.4467434466        0.0002519443
       1.350000       22.6174471883        0.0002334991
       1.360000       22.7887551550        0.0001967851
       1.370000       22.9606658831        0.0001485881
       1.380000       23.1331779090        0.0000954947
       1.390000       23.3062897692        0.0000438973
       1.400000       23.4800000000        0.0000000000
       1.410000       23.6543074473        0.0000314838
       1.420000       23.8292121938        0.0000511717
       1.430000       24.0047146318        0.0000609540
       1.440000       24.1808151534        0.0000626673
       1.450000       24.3575141508        0.0000580964
       1.460000       24.5348120162        0.0000489760
       1.470000       24.7127091416        0.0000369915
       1.480000       24.8912059193        0.0000237805
       1.490000       25.0703027413        0.0000109346
