
natural spline
             x          Natural CS          N_Error(%) 
       1.010000       17.1774427205        0.1582638231
       1.020000       17.3548903591        0.3103273709
       1.030000       17.5323478340        0.4563639669
       1.040000       17.7098200635        0.5965422130
       1.050000       17.8873119656        0.7310261334
       1.060000       18.0648284586        0.8599753143
       1.070000       18.2423744606        0.9835450384
       1.080000       18.4199548897        1.1018864148
       1.090000       18.5975746641        1.2151465043
       1.100000       18.7752387021        1.3234684408
       1.110000       18.9529519217        1.4269915484
       1.120000       19.1307192412        1.5258514539
       1.130000       19.3085455786        1.6201801966
       1.140000       19.4864358522        1.7101063335
       1.150000       19.6643949802        1.7957550416
       1.160000       19.8424278806        1.8772482164
       1.170000       20.0205394717        1.9547045671
       1.180000       20.1987346717        2.0282397090
       1.190000       20.3770183986        2.0979662526
       1.200000       20.5553955707        2.1639938902
       1.210000       20.7338711061        2.2264294786
       1.220000       20.9124499231        2.2853771206
       1.230000       21.0911369397        2.3409382428
       1.240000       21.2699370741        2.3932116714
       1.250000       21.4488552445        2.4422937050
       1.260000       21.6278963691        2.4882781862
       1.270000       21.8070653660        2.5312565694
       1.280000       21.9863671534        2.5713179881
       1.290000       22.1658066495        2.6085493186
       1.300000       22.3453887724        2.6430352428
       1.310000       22.5251184403        2.6748583083
       1.320000       22.7050005713        2.7040989873
       1.330000       22.8850400837        2.7308357328
       1.340000       23.0652418956        2.7551450344
       1.350000       23.2456109251        2.7771014706
       1.360000       23.4261520905        2.7967777614
       1.370000       23.6068703099        2.8142448177
       1.380000       23.7877705014        2.8295717903
       1.390000       23.9688575832        2.8428261167
       1.400000       24.1501364736        2.8540735673
       1.410000       24.3316120906        2.8633782890
       1.420000       24.5132893524        2.8708028488
       1.430000       24.6951731773        2.8764082754
       1.440000       24.8772684833        2.8802540994
       1.450000       25.0595801886        2.8823983931
       1.460000       25.2421132114        2.8828978080
       1.470000       25.4248724699        2.8818076126
       1.480000       25.6078628822        2.8791817276
       1.490000       25.7910893665        2.8750727613
       1.500000       25.9745568409        2.8695320433
       1.510000       26.1582702237        2.8626096574
       1.520000       26.3422344330        2.8543544738
       1.530000       26.5264543869        2.8448141797
       1.540000       26.7109350037        2.8340353099
       1.550000       26.8956812014        2.8220632760
       1.560000       27.0806978983        2.8089423948
       1.570000       27.2659900126        2.7947159160
       1.580000       27.4515624623        2.7794260491
       1.590000       27.6374201657        2.7631139895
       1.600000       27.8235680409        2.7458199442
       1.610000       28.0100110061        2.7275831561
       1.620000       28.1967539794        2.7084419283
       1.630000       28.3838018791        2.6884336472
       1.640000       28.5711596233        2.6675948058
       1.650000       28.7588321301        2.6459610249
       1.660000       28.9468243178        2.6235670753
       1.670000       29.1351411044        2.6004468986
       1.680000       29.3237874082        2.5766336271
       1.690000       29.5127681474        2.5521596042
       1.700000       29.7020882400        2.5270564032
       1.710000       29.8917526043        2.5013548460
       1.720000       30.0817661584        2.4750850220
       1.730000       30.2721338205        2.4482763047
       1.740000       30.4628605087        2.4209573702
       1.750000       30.6539511413        2.3931562130
       1.760000       30.8454106363        2.3649001630
       1.770000       31.0372439120        2.3362159012
       1.780000       31.2294558866        2.3071294752
       1.790000       31.4220514781        2.2776663143
       1.800000       31.6150356048        2.2478512444
       1.810000       31.8084131848        2.2177085020
       1.820000       32.0021891363        2.1872617484
       1.830000       32.1963683774        2.1565340832
       1.840000       32.3909558264        2.1255480577
       1.850000       32.5859564013        2.0943256876
       1.860000       32.7813750204        2.0628884654
       1.870000       32.9772166019        2.0312573733
