             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.51      14.849390       0.006965      14.847635       0.004853      14.848356       0.000002
           1.52      14.911281       0.012431      14.908160       0.008498      14.909427       0.000003
           1.53      14.973170       0.016372      14.969075       0.010982      14.970720       0.000007
           1.54      15.035060       0.018775      15.030380       0.012356      15.032238       0.000003
           1.55      15.096950       0.019624      15.092075       0.012668      15.093987       0.000000
           1.56      15.158840       0.018909      15.154160       0.011968      15.155974       0.000000
           1.57      15.220730       0.016599      15.216635       0.010310      15.218204       0.000001
           1.58      15.282619       0.012687      15.279500       0.007727      15.280681       0.000001
           1.59      15.344509       0.007156      15.342755       0.004274      15.343411       0.000002
           1.60      15.406400       0.000002      15.406400       0.000002      15.406400       0.000002
           1.61      15.485839       0.104631      15.470434       0.005051      15.469652       0.000005
           1.62      15.565279       0.206679      15.534859       0.010838      15.533174       0.000010
           1.63      15.644719       0.306129      15.599673       0.017317      15.596972       0.000001
           1.64      15.724159       0.402972      15.664879       0.024451      15.661049       0.000004
           1.65      15.803599       0.497201      15.730474       0.032184      15.725411       0.000007
           1.66      15.883039       0.588808      15.796459       0.040486      15.790066       0.000004
           1.67      15.962480       0.677785      15.862833       0.049299      15.855016       0.000006
           1.68      16.041920       0.764126      15.929599       0.058605      15.920268       0.000004
           1.69      16.121359       0.847818      15.996754       0.068346      15.985827       0.000004
           1.70      16.200800       0.928873      16.064299       0.078488      16.051699       0.000008
           1.71      16.280239       1.007261      16.132235       0.088999      16.117889       0.000003
           1.72      16.359678       1.082988      16.200560       0.099827      16.184402       0.000004
           1.73      16.439119       1.156060      16.269274       0.110936      16.251244       0.000010
           1.74      16.518560       1.226460      16.338379       0.122299      16.318420       0.000007
           1.75      16.598000       1.294171      16.407873       0.133869      16.385937       0.000004
           1.76      16.677441       1.359214      16.477760       0.145632      16.453798       0.000000
           1.77      16.756880       1.421559      16.548033       0.157506      16.522009       0.000005
           1.78      16.836319       1.481216      16.618698       0.169502      16.590576       0.000004
           1.79      16.915760       1.538191      16.689754       0.181575      16.659504       0.000007
           1.80      16.995199       1.592459      16.761198       0.193667      16.728798       0.000012
           1.81      17.074640       1.644039      16.833035       0.205779      16.798466       0.000007
           1.82      17.154079       1.692907      16.905260       0.217855      16.868509       0.000011
           1.83      17.233519       1.739072      16.977875       0.229864      16.938936       0.000012
           1.84      17.312960       1.782543      17.050879       0.241773      17.009752       0.000007
           1.85      17.392399       1.823295      17.124273       0.253562      17.080961       0.000007
           1.86      17.471840       1.861351      17.198057       0.265190      17.152569       0.000009
           1.87      17.551279       1.896687      17.272234       0.276647      17.224583       0.000000
           1.88      17.630720       1.929325      17.346798       0.287872      17.297005       0.000000
           1.89      17.710159       1.959242      17.421753       0.298856      17.369841       0.000008
           1.90      17.789600       1.986461      17.497099       0.309572      17.443098       0.000011
           1.91      17.869040       2.010961      17.572830       0.319958      17.516781       0.000017
           1.92      17.948479       2.032753      17.648960       0.330063      17.590899       0.000004
           1.93      18.027920       2.051850      17.725471       0.339761      17.665449       0.000012
           1.94      18.107361       2.068242      17.802380       0.349112      17.740446       0.000003
           1.95      18.186798       2.081910      17.879673       0.358026      17.815886       0.000011
           1.96      18.266239       2.092899      17.957359       0.366520      17.891783       0.000002
           1.97      18.345680       2.101190      18.035431       0.374526      17.968134       0.000009
           1.98      18.425119       2.106776      18.113899       0.382082      18.044952       0.000002
           1.99      18.504560       2.109681      18.192753       0.389101      18.122238       0.000005
           2.00      18.584000       2.109889      18.271999       0.395601      18.199999       0.000006
           2.01      18.663441       2.107423      18.351635       0.401538      18.278238       0.000014
           2.02      18.742880       2.102269      18.431658       0.406879      18.356966       0.000006
           2.03      18.822319       2.094440      18.512074       0.411632      18.436182       0.000012
           2.04      18.901760       2.083953      18.592878       0.415755      18.515896       0.000009
           2.05      18.981199       2.070792      18.674076       0.419247      18.596113       0.000004
           2.06      19.060640       2.054984      18.755657       0.422036      18.676832       0.000011
           2.07      19.140079       2.036515      18.837633       0.424162      18.758068       0.000003
           2.08      19.219519       2.015401      18.919998       0.425575      18.839821       0.000001
           2.09      19.298960       1.991660      19.002756       0.426275      18.922096       0.000001
           2.10      19.378399       1.965277      19.085897       0.426193      19.004900       0.000000
           2.11      19.457838       1.936272      19.169434       0.425371      19.088236       0.000010
           2.12      19.537281       1.904672      19.253359       0.423760      19.172113       0.000009
           2.13      19.616720       1.870445      19.337671       0.421333      19.256536       0.000004
           2.14      19.696159       1.833621      19.422379       0.418111      19.341509       0.000003
           2.15      19.775600       1.794216      19.507475       0.414049      19.427036       0.000006
           2.16      19.855040       1.752222      19.592958       0.409120      19.513123       0.000019
           2.17      19.934481       1.707667      19.678833       0.403328      19.599781       0.000003
           2.18      20.013920       1.660543      19.765097       0.396647      19.687008       0.000004
           2.19      20.093359       1.610867      19.851755       0.389092      19.774813       0.000001
           2.20      20.172800       1.558662      19.938799       0.380599      19.863199       0.000003
           2.21      20.252239       1.503919      19.880201       0.360730      19.952173       0.000008
           2.22      20.331678       1.446657      19.973444       0.340784      20.041742       0.000004
           2.23      20.411119       1.386899      20.067329       0.320788      20.131908       0.000009
           2.24      20.490561       1.324647      20.161856       0.300780      20.222681       0.000002
           2.25      20.570000       1.259902      20.257023       0.280788      20.314062       0.000001
           2.26      20.649439       1.192688      20.352835       0.260822      20.406057       0.000004
           2.27      20.728880       1.123026      20.449289       0.240919      20.498674       0.000001
           2.28      20.808319       1.050910      20.546383       0.221124      20.591915       0.000007
           2.29      20.887760       0.976372      20.644119       0.201446      20.685789       0.000004
           2.30      20.967199       0.899407      20.742500       0.181901      20.780300       0.000001
           2.31      21.046640       0.820048      20.841520       0.162542      20.875450       0.000008
           2.32      21.126080       0.738289      20.941183       0.143377      20.971251       0.000002
           2.33      21.205519       0.654156      21.041489       0.124430      21.067701       0.000008
           2.34      21.284960       0.567670      21.142435       0.105734      21.164812       0.000006
           2.35      21.364401       0.478839      21.244026       0.087295      21.262587       0.000003
           2.36      21.443840       0.387668      21.346254       0.069172      21.361031       0.000002
           2.37      21.523279       0.294181      21.449129       0.051344      21.460148       0.000002
           2.38      21.602718       0.198395      21.552643       0.033867      21.559944       0.000002
           2.39      21.682159       0.100333      21.656799       0.016748      21.660427       0.000001
           2.40      21.761600       0.000003      21.761600       0.000003      21.761599       0.000006
           2.41      21.882771       0.088284      21.859983       0.015941      21.863468       0.000002
           2.42      22.003939       0.172538      21.959299       0.030683      21.966038       0.000006
           2.43      22.125109       0.252806      22.059544       0.044281      22.069317       0.000004
           2.44      22.246279       0.329105      22.160719       0.056764      22.173306       0.000001
           2.45      22.367449       0.401457      22.262825       0.068172      22.278011       0.000004
           2.46      22.488619       0.469886      22.365860       0.078550      22.383442       0.000001
           2.47      22.609789       0.534418      22.469824       0.087937      22.489599       0.000006
           2.48      22.730959       0.595076      22.574718       0.096360      22.596493       0.000001
           2.49      22.852129       0.651887      22.680544       0.103858      22.704123       0.000006
           2.50      22.973299       0.704874      22.787300       0.110464      22.812500       0.000001
           2.51      23.094469       0.754063      22.894983       0.116232      22.921625       0.000002
           2.52      23.215639       0.799479      23.003599       0.121172      23.031506       0.000006
           2.53      23.336809       0.841150      23.113144       0.125335      23.142149       0.000000
           2.54      23.457979       0.879099      23.223619       0.128745      23.253557       0.000001
           2.55      23.579149       0.913354      23.335024       0.131446      23.365738       0.000003
           2.56      23.700319       0.943942      23.447359       0.133462      23.478695       0.000003
           2.57      23.821489       0.970887      23.560625       0.134824      23.592434       0.000002
           2.58      23.942659       0.994218      23.674820       0.135574      23.706961       0.000001
           2.59      24.063829       1.013961      23.789944       0.135743      23.822279       0.000008
           2.60      24.184999       1.030143      23.905998       0.135354      23.938398       0.000006
           2.61      24.306168       1.042784      24.022984       0.134436      24.055323       0.000000
           2.62      24.427340       1.051934      24.140900       0.133021      24.173054       0.000005
           2.63      24.548510       1.057598      24.259743       0.131153      24.291601       0.000003
           2.64      24.669678       1.059804      24.379519       0.128839      24.410969       0.000002
           2.65      24.790850       1.058602      24.500225       0.126114      24.531162       0.000000
           2.66      24.912020       1.053998      24.621859       0.123021      24.652185       0.000003
           2.67      25.033190       1.046028      24.744425       0.119567      24.774046       0.000002
           2.68      25.154360       1.034719      24.867918       0.115800      24.896748       0.000004
           2.69      25.275530       1.020100      24.992344       0.111725      25.020298       0.000001
           2.70      25.396700       1.002200      25.117699       0.107382      25.144699       0.000002
           2.71      25.517870       0.981048      25.243984       0.102791      25.269958       0.000004
           2.72      25.639040       0.956672      25.371199       0.097984      25.396084       0.000004
           2.73      25.760208       0.929093      25.499344       0.092979      25.523073       0.000007
           2.74      25.881380       0.898364      25.628420       0.087799      25.650942       0.000002
           2.75      26.002550       0.864491      25.758423       0.082485      25.779686       0.000005
           2.76      26.123718       0.827502      25.889359       0.077036      25.909317       0.000004
           2.77      26.244890       0.787451      26.021225       0.071484      26.039839       0.000002
           2.78      26.366058       0.744335      26.154018       0.065866      26.171257       0.000002
           2.79      26.487228       0.698208      26.287743       0.060190      26.303574       0.000004
           2.80      26.608400       0.649098      26.422400       0.054470      26.436798       0.000006
           2.81      26.729568       0.597013      26.557985       0.048742      26.570936       0.000001
           2.82      26.850739       0.542005      26.694498       0.043034      26.705990       0.000004
           2.83      26.971910       0.484102      26.831945       0.037339      26.841969       0.000002
           2.84      27.093079       0.423314      26.970320       0.031704      26.978872       0.000003
           2.85      27.214249       0.359692      27.109623       0.026143      27.116713       0.000002
           2.86      27.335419       0.293257      27.249859       0.020660      27.255487       0.000009
           2.87      27.456589       0.224041      27.391026       0.015283      27.395212       0.000000
           2.88      27.577759       0.152072      27.533119       0.010042      27.535883       0.000005
           2.89      27.698929       0.077381      27.676144       0.004943      27.677511       0.000002
           2.90      27.820099       0.000002      27.820099       0.000002      27.820101       0.000004
           2.91      27.978468       0.052978      27.964985       0.004761      27.963654       0.000000
           2.92      28.136839       0.101964      28.110800       0.009325      28.108177       0.000006
           2.93      28.295208       0.146980      28.257544       0.013672      28.253681       0.000001
           2.94      28.453579       0.188076      28.405220       0.017799      28.400166       0.000002
           2.95      28.611950       0.225283      28.553823       0.021671      28.547636       0.000003
           2.96      28.770319       0.258631      28.703360       0.025292      28.696102       0.000001
