             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01       2.746870       0.046229       2.745517       0.003059       2.745607       0.000232
           1.02       2.775459       0.081632       2.773053       0.005097       2.773205       0.000379
           1.03       2.804047       0.106434       2.800890       0.006278       2.801078       0.000446
           1.04       2.832635       0.120825       2.829027       0.006701       2.829230       0.000453
           1.05       2.861224       0.125027       2.857466       0.006495       2.857663       0.000421
           1.06       2.889812       0.119224       2.886204       0.005777       2.886381       0.000360
           1.07       2.918401       0.103632       2.915244       0.004652       2.915388       0.000287
           1.08       2.946989       0.078430       2.944584       0.003248       2.944685       0.000193
           1.09       2.975578       0.043827       2.974225       0.001664       2.974277       0.000091
           1.10       3.004166       0.000004       3.004166       0.000004       3.004166       0.000004
           1.11       3.035761       0.046228       3.034408       0.001638       3.034356       0.000083
           1.12       3.067356       0.081632       3.064951       0.003149       3.064850       0.000149
           1.13       3.098951       0.106435       3.095794       0.004448       3.095650       0.000196
           1.14       3.130547       0.120834       3.126938       0.005437       3.126761       0.000229
           1.15       3.162142       0.125029       3.158383       0.006023       3.158185       0.000235
           1.16       3.193737       0.119228       3.189749       0.005776       3.189926       0.000223
           1.17       3.225332       0.103629       3.221843       0.004659       3.221987       0.000189
           1.18       3.256927       0.078436       3.254268       0.003258       3.254369       0.000144
           1.19       3.288522       0.043825       3.287026       0.001667       3.287079       0.000078
           1.20       3.320117       0.000005       3.320117       0.000005       3.320117       0.000003
           1.21       3.355035       0.046226       3.353539       0.001635       3.353482       0.000086
           1.22       3.389953       0.081629       3.387294       0.003146       3.387183       0.000148
           1.23       3.424871       0.106430       3.421382       0.004448       3.421223       0.000200
           1.24       3.459789       0.120828       3.455801       0.005442       3.455606       0.000223
           1.25       3.494707       0.125029       3.490553       0.006022       3.490335       0.000235
           1.26       3.529625       0.119233       3.525218       0.005771       3.525414       0.000219
           1.27       3.564543       0.103633       3.560687       0.004647       3.560846       0.000188
           1.28       3.599461       0.078445       3.596523       0.003243       3.596635       0.000135
           1.29       3.634379       0.043834       3.632726       0.001654       3.632784       0.000073
           1.30       3.669297       0.000009       3.669297       0.000009       3.669297       0.000009
           1.31       3.707887       0.046233       3.706235       0.001646       3.706171       0.000072
           1.32       3.746478       0.081643       3.743540       0.003158       3.743416       0.000141
           1.33       3.785068       0.106444       3.781212       0.004456       3.781036       0.000185
           1.34       3.823658       0.120829       3.819251       0.005442       3.819035       0.000214
           1.35       3.862249       0.125036       3.857658       0.006031       3.857417       0.000230
           1.36       3.900839       0.119234       3.895969       0.005764       3.896185       0.000214
           1.37       3.939429       0.103641       3.935168       0.004647       3.935344       0.000182
           1.38       3.978019       0.078439       3.974773       0.003243       3.974896       0.000136
           1.39       4.016610       0.043829       4.014783       0.001660       4.014847       0.000068
           1.40       4.055200       0.000004       4.055200       0.000004       4.055200       0.000004
           1.41       4.097849       0.046229       4.096023       0.001642       4.095952       0.000081
           1.42       4.140498       0.081634       4.137251       0.003154       4.137115       0.000142
           1.43       4.183147       0.106440       4.178885       0.004459       4.178691       0.000197
           1.44       4.225796       0.120832       4.220925       0.005439       4.220686       0.000233
           1.45       4.268445       0.125028       4.263371       0.006028       4.263104       0.000235
           1.46       4.311093       0.119227       4.305711       0.005776       4.305950       0.000216
