             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.41       4.100091       0.100981       4.095532       0.010336       4.095999       0.001073
           1.42       4.144983       0.190059       4.136343       0.018778       4.137198       0.001888
           1.43       4.189875       0.267441       4.177635       0.025460       4.178803       0.002486
           1.44       4.234766       0.333376       4.219407       0.030543       4.220818       0.002898
           1.45       4.279658       0.388071       4.261658       0.034159       4.263249       0.003166
           1.46       4.324550       0.431733       4.304390       0.036449       4.306100       0.003273
           1.47       4.369442       0.464598       4.347602       0.037550       4.349377       0.003268
           1.48       4.414333       0.486856       4.391294       0.037607       4.393085       0.003185
           1.49       4.459225       0.498734       4.435465       0.036748       4.437229       0.003004
           1.50       4.504116       0.500416       4.480116       0.035089       4.481813       0.002777
           1.51       4.549007       0.492115       4.525248       0.032753       4.526844       0.002493
           1.52       4.593899       0.474040       4.570860       0.029858       4.572326       0.002201
           1.53       4.638791       0.446375       4.616951       0.026541       4.618264       0.001884
           1.54       4.683682       0.409303       4.663523       0.022873       4.664663       0.001558
           1.55       4.728574       0.363034       4.710575       0.019005       4.711529       0.001246
           1.56       4.773466       0.307734       4.758106       0.015032       4.758866       0.000950
           1.57       4.818357       0.243609       4.806118       0.011027       4.806680       0.000659
           1.58       4.863249       0.170818       4.854609       0.007131       4.854976       0.000412
           1.59       4.908141       0.089561       4.903581       0.003428       4.903758       0.000189
           1.60       4.953032       0.000004       4.953032       0.000005       4.953032       0.000005
           1.61       5.005124       0.046225       5.002658       0.003053       5.002803       0.000155
           1.62       5.057215       0.081634       5.052832       0.005107       5.053077       0.000266
           1.63       5.109306       0.106424       5.103554       0.006276       5.103857       0.000343
           1.64       5.161398       0.120831       5.154824       0.006704       5.155149       0.000386
           1.65       5.213490       0.125022       5.206641       0.006500       5.206959       0.000392
           1.66       5.265581       0.119226       5.259007       0.005775       5.259292       0.000362
           1.67       5.317672       0.103623       5.311920       0.004659       5.312152       0.000296
           1.68       5.369764       0.078436       5.365381       0.003254       5.365544       0.000214
           1.69       5.421856       0.043831       5.419390       0.001667       5.419474       0.000118
           1.70       5.473947       0.000003       5.473947       0.000003       5.473947       0.000003
           1.71       5.531517       0.046224       5.529052       0.001636       5.528956       0.000089
           1.72       5.589087       0.081631       5.584704       0.003153       5.584520       0.000151
           1.73       5.646657       0.106437       5.640904       0.004444       5.640643       0.000197
           1.74       5.704227       0.120823       5.697653       0.005434       5.697330       0.000224
           1.75       5.761797       0.125021       5.754949       0.006023       5.754589       0.000233
           1.76       5.819367       0.119231       5.812102       0.005770       5.812424       0.000224
           1.77       5.876937       0.103634       5.870580       0.004658       5.870842       0.000191
           1.78       5.934507       0.078436       5.929664       0.003247       5.929848       0.000144
           1.79       5.992077       0.043828       5.989353       0.001662       5.989448       0.000078
           1.80       6.049648       0.000009       6.049647       0.000001       6.049647       0.000001
           1.81       6.113272       0.046232       6.110548       0.001642       6.110413       0.000567
           1.82       6.176897       0.081634       6.172053       0.003161       6.171792       0.001073
           1.83       6.240521       0.106434       6.234164       0.004456       6.233793       0.001503
           1.84       6.304146       0.120832       6.296881       0.005442       6.296423       0.001820
           1.85       6.367771       0.125025       6.360203       0.006030       6.359693       0.001993
           1.86       6.431396       0.119229       6.424130       0.006124       6.423608       0.002004
           1.87       6.495020       0.103636       6.488663       0.005649       6.488177       0.001832
           1.88       6.558645       0.078441       6.553801       0.004523       6.553409       0.001458
           1.89       6.622270       0.043829       6.619545       0.002667       6.619313       0.000841
           1.90       6.685894       0.000004       6.685894       0.000004       6.685894       0.000004
           1.91       6.800777       0.706172       6.754645       0.023046       6.752461       0.009287
           1.92       6.915659       1.388386       6.824327       0.049395       6.819613       0.019729
           1.93       7.030542       2.047053       6.894941       0.078835       6.887358       0.031240
           1.94       7.145424       2.682574       6.966488       0.111193       6.955711       0.043684
           1.95       7.260307       3.295345       7.038967       0.146248       7.024683       0.056971
           1.96       7.375189       3.885756       7.112377       0.183825       7.094285       0.071011
           1.97       7.490072       4.454190       7.186719       0.223727       7.164533       0.085676
           1.98       7.604954       5.001027       7.261993       0.265793       7.235434       0.100910
           1.99       7.719837       5.526640       7.338200       0.309836       7.307003       0.116601
           2.00       7.834719       6.031398       7.415338       0.355685       7.379252       0.132681
           2.01       7.949602       6.515663       7.493408       0.403181       7.452192       0.149066
           2.02       8.064485       6.979800       7.572409       0.452150       7.525835       0.165682
           2.03       8.179366       7.424135       7.652344       0.502459       7.600194       0.182453
           2.04       8.294250       7.849062       7.733209       0.553925       7.675281       0.199312
           2.05       8.409131       8.254872       7.815008       0.606436       7.751106       0.216204
           2.06       8.524014       8.641953       7.897736       0.659785       7.827683       0.233063
           2.07       8.638897       9.010601       7.981400       0.713918       7.905024       0.249832
           2.08       8.753779       9.361156       8.065992       0.768618       7.983141       0.266447
           2.09       8.868662       9.693943       8.151518       0.823794       8.062045       0.282869
           2.10       8.983543      10.009268       8.237976       0.879317       8.141748       0.299053
           2.11       9.098427      10.307481       8.325366       0.935049       8.222263       0.314947
           2.12       9.213309      10.588856       8.413688       0.990868       8.303603       0.330495
           2.13       9.328192      10.853711       8.502942       1.046667       8.385778       0.345674
           2.14       9.443074      11.102346       8.593126       1.102297       8.468801       0.360456
           2.15       9.557957      11.335058       8.684244       1.157691       8.552683       0.374790
           2.16       9.672839      11.552139       8.776294       1.212718       8.637438       0.388640
           2.17       9.787722      11.753878       8.869274       1.267263       8.723075       0.402005
           2.18       9.902604      11.940557       8.963188       1.321255       8.809609       0.414823
           2.19      10.017487      12.112457       9.058034       1.374575       8.897051       0.427095
           2.20      10.132369      12.269854       9.153811       1.427116       8.985414       0.438776
           2.21      10.247252      12.413018       9.250520       1.478806       9.074705       0.449892
           2.22      10.362134      12.542218       9.348163       1.529566       9.164944       0.460359
           2.23      10.477016      12.657718       9.446735       1.579267       9.256137       0.470209
           2.24      10.591899      12.759777       9.546240       1.627846       9.348300       0.479392
           2.25      10.706781      12.848650       9.646678       1.675242       9.441442       0.487934
           2.26      10.821664      12.924592       9.748045       1.721326       9.535575       0.495809
           2.27      10.936546      12.987849       9.850348       1.766092       9.630713       0.502995
           2.28      11.051429      13.038668       9.953580       1.809407       9.726869       0.509492
           2.29      11.166311      13.077288      10.057745       1.851229       9.824051       0.515308
           2.30      11.281194      13.103949      10.162843       1.891491       9.922272       0.520447
           2.31      11.396076      13.118884      10.268870       1.930097      10.021547       0.524863
           2.32      11.510959      13.122323      10.375832       1.967022      10.121887       0.528581
           2.33      11.625841      13.114495      10.483725       2.002186      10.223303       0.531607
           2.34      11.740724      13.095623      10.592549       2.035530      10.325806       0.533948
           2.35      11.855606      13.065927      10.702306       2.066998      10.429411       0.535577
           2.36      11.970489      13.025625      10.812994       2.096535      10.534126       0.536540
