             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01       6.010000       0.000004       6.010000       0.000004       6.010000       0.000004
           1.02       6.020000       0.000000       6.020000       0.000000       6.020000       0.000000
           1.03       6.030000       0.000004       6.030000       0.000003       6.030000       0.000003
           1.04       6.040000       0.000001       6.040000       0.000001       6.040000       0.000001
           1.05       6.050000       0.000005       6.050000       0.000003       6.050000       0.000005
           1.06       6.060000       0.000001       6.060000       0.000001       6.060000       0.000001
           1.07       6.070000       0.000005       6.070000       0.000003       6.070000       0.000003
           1.08       6.080000       0.000001       6.080000       0.000001       6.080000       0.000001
           1.09       6.090000       0.000005       6.090000       0.000003       6.090000       0.000003
           1.10       6.100000       0.000002       6.100000       0.000002       6.100000       0.000006
           1.11       6.110000       0.000006       6.110000       0.000002       6.110000       0.000002
           1.12       6.120000       0.000002       6.120000       0.000002       6.120000       0.000006
           1.13       6.130000       0.000006       6.130000       0.000002       6.130000       0.000002
           1.14       6.140000       0.000002       6.140000       0.000002       6.140000       0.000006
           1.15       6.150000       0.000002       6.150000       0.000002       6.150001       0.000009
           1.16       6.160000       0.000002       6.160000       0.000002       6.160000       0.000002
           1.17       6.170000       0.000001       6.170000       0.000001       6.170001       0.000009
           1.18       6.180000       0.000005       6.180000       0.000003       6.180000       0.000003
           1.19       6.190000       0.000001       6.190000       0.000001       6.190000       0.000001
           1.20       6.200000       0.000005       6.200000       0.000005       6.200000       0.000005
           1.21       6.210000       0.000001       6.210000       0.000001       6.210000       0.000007
           1.22       6.220000       0.000004       6.220000       0.000004       6.220000       0.000003
           1.23       6.230000       0.000000       6.230000       0.000000       6.230000       0.000008
           1.24       6.240000       0.000004       6.240000       0.000004       6.240000       0.000004
           1.25       6.250000       0.000000       6.250000       0.000000       6.250001       0.000015
           1.26       6.260000       0.000004       6.260000       0.000004       6.260001       0.000011
           1.27       6.270000       0.000000       6.270000       0.000000       6.270001       0.000015
           1.28       6.280000       0.000003       6.280000       0.000003       6.280000       0.000003
           1.29       6.290000       0.000001       6.290000       0.000001       6.290000       0.000001
           1.30       6.300000       0.000003       6.300000       0.000004       6.300000       0.000003
           1.31       6.310000       0.000001       6.310000       0.000007       6.309999       0.000008
           1.32       6.320000       0.000003       6.320000       0.000003       6.320001       0.000010
           1.33       6.330000       0.000001       6.330000       0.000001       6.330001       0.000014
           1.34       6.340000       0.000003       6.340000       0.000003       6.340001       0.000010
           1.35       6.350000       0.000001       6.350000       0.000001       6.349999       0.000009
           1.36       6.360000       0.000002       6.360000       0.000002       6.360000       0.000005
           1.37       6.370000       0.000002       6.370000       0.000002       6.370001       0.000013
           1.38       6.380000       0.000002       6.380000       0.000002       6.380001       0.000009
           1.39       6.390000       0.000002       6.390000       0.000006       6.390001       0.000020
           1.40       6.400000       0.000002       6.400000       0.000002       6.399999       0.000013
