             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01      17.153000       0.015742      17.150299       0.000005      17.150301       0.000006
           1.02      17.306000       0.027742      17.301201       0.000005      17.301201       0.000005
           1.03      17.459002       0.036106      17.452700       0.000002      17.452700       0.000002
           1.04      17.612000       0.040895      17.604799       0.000004      17.604799       0.000004
           1.05      17.764999       0.042232      17.757500       0.000002      17.757500       0.000002
           1.06      17.917999       0.040195      17.910801       0.000005      17.910801       0.000005
           1.07      18.071001       0.034881      18.064701       0.000006      18.064701       0.000006
           1.08      18.223999       0.026341      18.219200       0.000001      18.219202       0.000011
           1.09      18.376999       0.014689      18.374300       0.000000      18.374300       0.000000
           1.10      18.530001       0.000004      18.530001       0.000004      18.530001       0.000004
           1.11      18.688999       0.014445      18.686300       0.000002      18.686300       0.000002
           1.12      18.848000       0.025471      18.843201       0.000004      18.843201       0.000004
           1.13      19.007000       0.033157      19.000700       0.000000      19.000700       0.000000
           1.14      19.166000       0.037583      19.158800       0.000001      19.158800       0.000001
           1.15      19.325001       0.038829      19.317499       0.000004      19.317501       0.000006
           1.16      19.484001       0.036973      19.476801       0.000005      19.476801       0.000005
           1.17      19.643000       0.032081      19.636700       0.000001      19.636700       0.000001
           1.18      19.802000       0.024246      19.797199       0.000003      19.797201       0.000006
           1.19      19.961000       0.013531      19.958300       0.000001      19.958300       0.000001
           1.20      20.119999       0.000005      20.120001       0.000005      20.120001       0.000005
           1.21      20.285000       0.013312      20.282299       0.000004      20.282299       0.000004
           1.22      20.449999       0.023472      20.445200       0.000000      20.445200       0.000000
           1.23      20.615000       0.030569      20.608700       0.000001      20.608700       0.000001
           1.24      20.780001       0.034664      20.772800       0.000003      20.772800       0.000003
           1.25      20.945000       0.035820      20.937500       0.000000      20.937500       0.000000
           1.26      21.110001       0.034122      21.102800       0.000002      21.102800       0.000002
           1.27      21.275000       0.029620      21.268700       0.000001      21.268700       0.000001
           1.28      21.440002       0.022405      21.435200       0.000001      21.435202       0.000008
           1.29      21.605001       0.012506      21.602301       0.000003      21.602301       0.000003
           1.30      21.770000       0.000003      21.770000       0.000003      21.770002       0.000011
           1.31      21.941002       0.012316      21.938301       0.000005      21.938301       0.000005
           1.32      22.112001       0.021719      22.107201       0.000003      22.107201       0.000003
           1.33      22.283001       0.028285      22.276701       0.000005      22.276701       0.000005
           1.34      22.454000       0.032079      22.446800       0.000002      22.446802       0.000010
           1.35      22.625002       0.033169      22.617500       0.000002      22.617500       0.000002
           1.36      22.796000       0.031593      22.788799       0.000003      22.788799       0.000003
           1.37      22.967001       0.027443      22.960701       0.000005      22.960701       0.000005
           1.38      23.138000       0.020752      23.133200       0.000001      23.133200       0.000001
           1.39      23.309000       0.011586      23.306299       0.000003      23.306299       0.000003
           1.40      23.480001       0.000007      23.480000       0.000001      23.480000       0.000001
           1.41      23.657000       0.011413      23.654301       0.000004      23.654299       0.000004
           1.42      23.834000       0.020143      23.829201       0.000004      23.829199       0.000004
           1.43      24.011000       0.026244      24.004700       0.000001      24.004700       0.000001
           1.44      24.188000       0.029775      24.180799       0.000001      24.180799       0.000001
           1.45      24.365000       0.030791      24.357500       0.000001      24.357500       0.000001
           1.46      24.542000       0.029346      24.534800       0.000001      24.534800       0.000001
           1.47      24.719000       0.025493      24.712700       0.000000      24.712700       0.000000
           1.48      24.896000       0.019284      24.891199       0.000003      24.891201       0.000005
           1.49      25.073000       0.010770      25.070301       0.000005      25.070301       0.000005
           1.50      25.250000       0.000001      25.250000       0.000001      25.250000       0.000001
           1.51      25.433001       0.010620      25.430300       0.000000      25.430300       0.000000
           1.52      25.616001       0.018747      25.611200       0.000002      25.611200       0.000002
           1.53      25.799000       0.024426      25.792700       0.000000      25.792700       0.000000
           1.54      25.982000       0.027721      25.974800       0.000001      25.974800       0.000001
           1.55      26.164999       0.028670      26.157499       0.000002      26.157499       0.000002
           1.56      26.348000       0.027333      26.340799       0.000002      26.340799       0.000002
           1.57      26.530998       0.023746      26.524700       0.000002      26.524700       0.000002
           1.58      26.713999       0.017968      26.709200       0.000001      26.709200       0.000001
           1.59      26.896999       0.010038      26.894300       0.000003      26.894300       0.000003
           1.60      27.080000       0.000001      27.080000       0.000001      27.080000       0.000001
           1.61      27.268999       0.009900      27.266300       0.000002      27.266300       0.000002
           1.62      27.457998       0.017479      27.453199       0.000001      27.453199       0.000001
           1.63      27.646999       0.022791      27.640699       0.000001      27.640699       0.000001
           1.64      27.836000       0.025875      27.828800       0.000002      27.828798       0.000005
           1.65      28.024998       0.026762      28.017498       0.000006      28.017498       0.000006
           1.66      28.213999       0.025522      28.206799       0.000004      28.206799       0.000004
           1.67      28.402998       0.022180      28.396698       0.000006      28.396698       0.000006
           1.68      28.591999       0.016788      28.587198       0.000005      28.587198       0.000005
           1.69      28.780998       0.009377      28.778299       0.000001      28.778297       0.000008
           1.70      28.969997       0.000008      28.969997       0.000008      28.969999       0.000001
           1.71      29.164997       0.009250      29.162298       0.000005      29.162298       0.000005
           1.72      29.359999       0.016348      29.355198       0.000006      29.355198       0.000006
           1.73      29.554998       0.021316      29.548700       0.000002      29.548698       0.000004
           1.74      29.750000       0.024209      29.742798       0.000006      29.742800       0.000000
           1.75      29.945000       0.025052      29.937500       0.000001      29.937498       0.000005
           1.76      30.139999       0.023893      30.132799       0.000002      30.132801       0.000005
           1.77      30.335001       0.020777      30.328701       0.000004      30.328701       0.000004
           1.78      30.530001       0.015728      30.525200       0.000001      30.525200       0.000001
           1.79      30.725000       0.008791      30.722300       0.000000      30.722301       0.000006
           1.80      30.920000       0.000001      30.920000       0.000001      30.920002       0.000008
           1.81      31.121000       0.008679      31.118299       0.000001      31.118299       0.000001
           1.82      31.322001       0.015330      31.317202       0.000006      31.317202       0.000006
           1.83      31.523001       0.019993      31.516701       0.000004      31.516701       0.000004
           1.84      31.723999       0.022699      31.716801       0.000003      31.716801       0.000003
           1.85      31.925001       0.023503      31.917500       0.000000      31.917501       0.000006
           1.86      32.125999       0.022416      32.118801       0.000005      32.118801       0.000005
           1.87      32.327000       0.019492      32.320702       0.000006      32.320702       0.000006
           1.88      32.528000       0.014760      32.523201       0.000004      32.523201       0.000004
           1.89      32.729000       0.008252      32.726299       0.000001      32.726299       0.000001
           1.90      32.930000       0.000002      32.930000       0.000002      32.930000       0.000002
           1.91      33.137001       0.008153      33.134300       0.000002      33.134300       0.000002
           1.92      33.344002       0.014404      33.339199       0.000002      33.339199       0.000002
           1.93      33.550999       0.018778      33.544701       0.000003      33.544701       0.000003
           1.94      33.757999       0.021332      33.750801       0.000005      33.750801       0.000005
           1.95      33.965000       0.022088      33.957500       0.000003      33.957500       0.000003
           1.96      34.172001       0.021078      34.164799       0.000002      34.164799       0.000002
           1.97      34.379002       0.018335      34.372700       0.000001      34.372700       0.000001
           1.98      34.585999       0.013877      34.581200       0.000000      34.581200       0.000000
           1.99      34.792999       0.007760      34.790298       0.000003      34.790298       0.000003
           2.00      35.000000       0.000001      35.000000       0.000001      35.000000       0.000001
           2.01      35.213001       0.007673      35.210300       0.000003      35.210300       0.000003
           2.02      35.425999       0.013549      35.421200       0.000001      35.421200       0.000001
           2.03      35.639000       0.017682      35.632698       0.000004      35.632702       0.000007
           2.04      35.852001       0.020091      35.844803       0.000009      35.844803       0.000009
           2.05      36.065002       0.020808      36.057503       0.000009      36.057499       0.000002
           2.06      36.278000       0.019852      36.270802       0.000006      36.270802       0.000006
           2.07      36.491001       0.017272      36.484699       0.000001      36.484703       0.000010
           2.08      36.704002       0.013087      36.699200       0.000001      36.699203       0.000011
           2.09      36.917004       0.007325      36.914303       0.000009      36.914303       0.000009
           2.10      37.130001       0.000004      37.130001       0.000004      37.130001       0.000004
           2.11      37.349003       0.007239      37.346302       0.000007      37.346302       0.000007
           2.12      37.568001       0.012782      37.563202       0.000007      37.563202       0.000007
           2.13      37.787003       0.016683      37.780701       0.000003      37.780704       0.000013
