             x      Linear LP     L_Error(%)   Quadratic LP     Q_Error(%)       Cubic LP     C_Error(%) 
           1.01       0.839851       0.824353       0.846069       0.090085       0.848849       0.238193
           1.02       0.838231       1.628556       0.850584       0.178899       0.856071       0.465121
           1.03       0.836611       2.413162       0.855015       0.266454       0.863139       0.681207
           1.04       0.834991       3.178694       0.859362       0.352719       0.870053       0.886864
           1.05       0.833371       3.925678       0.863627       0.437690       0.876813       1.082456
           1.06       0.831751       4.654581       0.867807       0.521371       0.883420       1.268355
           1.07       0.830131       5.365878       0.871905       0.603727       0.889876       1.444948
           1.08       0.828511       6.060019       0.875918       0.684774       0.896180       1.612548
           1.09       0.826891       6.737435       0.879849       0.764492       0.902333       1.771485
           1.10       0.825271       7.398542       0.883696       0.842881       0.908337       1.922071
           1.11       0.823651       8.043733       0.887459       0.919926       0.914192       2.064649
           1.12       0.822031       8.673405       0.891139       0.995608       0.919898       2.199434
           1.13       0.820411       9.287922       0.894735       1.069954       0.925456       2.326793
           1.14       0.818791       9.887639       0.898248       1.142932       0.930867       2.446925
           1.15       0.817171      10.472905       0.901678       1.214550       0.936132       2.560151
           1.16       0.815551      11.044036       0.905024       1.284790       0.941251       2.666683
           1.17       0.813931      11.601355       0.908287       1.353661       0.946226       2.766776
           1.18       0.812311      12.145162       0.911466       1.421160       0.951056       2.860632
           1.19       0.810691      12.675763       0.914562       1.487268       0.955742       2.948521
           1.20       0.809071      13.193434       0.917574       1.552003       0.960286       3.030628
           1.21       0.807451      13.698448       0.920503       1.615348       0.964687       3.107175
           1.22       0.805831      14.191067       0.923348       1.677288       0.968947       3.178351
           1.23       0.804211      14.671544       0.926110       1.737853       0.973067       3.244389
           1.24       0.802591      15.140122       0.928788       1.797020       0.977046       3.305433
           1.25       0.800971      15.597035       0.931383       1.854777       0.980886       3.361638
           1.26       0.799351      16.042510       0.933895       1.911139       0.984588       3.413255
           1.27       0.797731      16.476762       0.936322       1.966117       0.988151       3.460378
           1.28       0.796111      16.900001       0.938667       2.019674       0.991577       3.503214
           1.29       0.794491      17.312429       0.940928       2.071840       0.994867       3.541940
           1.30       0.792871      17.714240       0.943106       2.122594       0.998021       3.576639
           1.31       0.791251      18.105619       0.945200       2.171955       1.001040       3.607491
           1.32       0.789631      18.486741       0.947211       2.219904       1.003924       3.634649
           1.33       0.788011      18.857790       0.949138       2.266460       1.006675       3.658245
           1.34       0.786391      19.218933       0.950982       2.311591       1.009293       3.678376
           1.35       0.784771      19.570317       0.952742       2.355347       1.011779       3.695244
           1.36       0.783151      19.912101       0.954419       2.397674       1.014133       3.708912
           1.37       0.781531      20.244434       0.956012       2.438619       1.016356       3.719501
           1.38       0.779911      20.567452       0.957522       2.478137       1.018449       3.727165
           1.39       0.778291      20.881301       0.958948       2.516263       1.020412       3.731979
           1.40       0.776671      21.186107       0.960291       2.553005       1.022247       3.734054
           1.41       0.775051      21.481996       0.961551       2.588316       1.023954       3.733532
           1.42       0.773431      21.769087       0.962727       2.622263       1.025533       3.730490
           1.43       0.771811      22.047495       0.963819       2.654794       1.026986       3.725005
           1.44       0.770191      22.317336       0.964829       2.685922       1.028312       3.717160
           1.45       0.768571      22.578704       0.965754       2.715673       1.029514       3.707110
           1.46       0.766951      22.831700       0.966596       2.744043       1.030591       3.694921
           1.47       0.765331      23.076430       0.967355       2.771004       1.031544       3.680668
           1.48       0.763711      23.312981       0.968030       2.796577       1.032374       3.664412
           1.49       0.762091      23.541439       0.968622       2.820780       1.033082       3.646285
           1.50       0.760471      23.761888       0.969130       2.843576       1.033668       3.626354
           1.51       0.758851      23.974406       0.969555       2.865015       1.034133       3.604684
           1.52       0.757231      24.179060       0.969897       2.885068       1.034477       3.581317
           1.53       0.755611      24.375941       0.970155       2.903752       1.034702       3.556383
           1.54       0.753991      24.565095       0.970329       2.921058       1.034808       3.529919
           1.55       0.752371      24.746590       0.970420       2.937005       1.034796       3.501993
           1.56       0.750751      24.920487       0.970428       2.951581       1.034666       3.472660
           1.57       0.749131      25.086838       0.970352       2.964788       1.034420       3.442034
           1.58       0.747511      25.245695       0.970192       2.976659       1.034057       3.410130
           1.59       0.745891      25.397105       0.969949       2.987164       1.033580       3.377032
           1.60       0.744271      25.541111       0.969623       2.996317       1.032987       3.342753
           1.61       0.742651      25.677747       0.969213       3.004129       1.032280       3.307422
           1.62       0.741031      25.807061       0.968720       3.010592       1.031461       3.271073
           1.63       0.739411      25.929085       0.968143       3.015741       1.030529       3.233723
           1.64       0.737791      26.043835       0.967483       3.019520       1.029484       3.195426
           1.65       0.736171      26.151338       0.966740       3.022011       1.028329       3.156269
           1.66       0.734551      26.251627       0.965913       3.023155       1.027063       3.116281
           1.67       0.732931      26.344713       0.965002       3.022986       1.025687       3.075520
           1.68       0.731312      26.430612       0.964008       3.021522       1.024203       3.034023
           1.69       0.729692      26.509334       0.962931       3.018719       1.022610       2.991837
           1.70       0.728072      26.580887       0.961770       3.014639       1.020909       2.949018
           1.71       0.726452      26.645274       0.960525       3.009262       1.019102       2.905612
           1.72       0.724832      26.702496       0.959198       3.002584       1.017188       2.861636
           1.73       0.723212      26.752548       0.957786       2.994647       1.015169       2.817108
           1.74       0.721592      26.795426       0.956291       2.985433       1.013044       2.772118
           1.75       0.719972      26.831116       0.954713       2.974949       1.010816       2.726704
           1.76       0.718352      26.859606       0.953051       2.963203       1.008485       2.680894
           1.77       0.716732      26.880876       0.951306       2.950185       1.006050       2.634677
           1.78       0.715112      26.894906       0.949478       2.935919       1.003514       2.588187
           1.79       0.713492      26.901669       0.947565       2.920444       1.000877       2.541387
           1.80       0.711872      26.901135       0.945570       2.903734       0.998138       2.494299
